recording	participant	arm	n_targets	n_scanner_harmonics	fir_rounds	n_fir_stopbands	peaks_above_2dB	peaks_above_null_p99	null_p99_db	null_frac_over_2db	comb_db	damage_half_hz	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0001_task-thermalactive_run-5_eeg	sub-0001	derived_shipped	115	1	2	12	15	10	3.32	0.0728	-0.28	0.2	24.88	3.1	0.99315	0.09821	1.0	1.0	1.0	1.0	1.0	1.0	0.9059	1.0	0.7405	0.9529
sub-0003_task-thermalactive_run-1_eeg	sub-0003	derived_shipped	114	2	2	14	11	10	2.27	0.0222	-0.41	0.2	26.41	4.4	0.99527	0.06193	1.0	1.0	1.0	1.0	1.0	1.0	0.8824	0.9559	0.7123	0.9539
sub-0001_task-thermalactive_run-6_eeg	sub-0001	derived_shipped	121	2	3	9	24	24	2.04	0.0103	-0.55	0.2	28.68	6.72	0.96479	0.20974	1.0	1.0	1.0	1.0	1.0	1.0	0.8765	1.0	0.7079	0.9324
sub-0003_task-thermalactive_run-2_eeg	sub-0003	derived_shipped	109	1	3	13	13	2	4.94	0.0131	-0.08	0.2	24.23	4.2	0.99456	0.06211	1.0	1.0	1.0	1.0	1.0	1.0	0.8941	0.9529	0.7538	0.9569
sub-0003_task-thermalactive_run-3_eeg	sub-0003	derived_shipped	125	2	3	11	13	13	1.63	0.0	-0.64	0.2	27.41	3.9	0.99476	0.05788	1.0	1.0	1.0	1.0	1.0	1.0	0.8941	0.9588	0.6897	0.9539
sub-0003_task-thermalactive_run-4_eeg	sub-0003	derived_shipped	107	2	3	12	14	14	1.95	0.0	0.03	0.2	24.16	3.6	0.9952	0.05859	1.0	1.0	1.0	1.0	1.0	1.0	0.9176	0.9735	0.7468	0.9499
sub-0004_task-thermalactive_run-1_eeg	sub-0004	derived_shipped	101	1	2	15	15	12	4.05	0.0355	0.23	0.2	24.67	7.41	0.99789	0.05523	1.0	1.0	1.0	1.0	1.0	1.0	0.9353	1.0	0.7486	0.9506
sub-0003_task-thermalactive_run-5_eeg	sub-0003	derived_shipped	127	2	3	17	15	15	2.03	0.015	-1.52	0.2	28.06	4.95	0.99425	0.0604	1.0	1.0	1.0	1.0	1.0	1.0	0.8824	0.9735	0.6857	0.9409
sub-0003_task-thermalactive_run-6_eeg	sub-0003	derived_shipped	127	3	3	13	22	23	1.69	0.0	-0.67	0.2	28.71	5.7	0.99362	0.05389	1.0	1.0	1.0	1.0	1.0	1.0	0.9235	0.9618	0.6747	0.9619
sub-0004_task-thermalactive_run-2_eeg	sub-0004	derived_shipped	109	0	3	10	16	16	1.9	0.0	0.19	0.2	25.39	6.01	0.99717	0.05461	1.0	1.0	1.0	1.0	1.0	1.0	0.9118	1.0	0.7292	0.9647
sub-0004_task-thermalactive_run-3_eeg	sub-0004	derived_shipped	94	0	2	11	9	9	2.13	0.0235	0.26	0.2	23.23	4.62	0.9971	0.05198	1.0	1.0	1.0	1.0	1.0	1.0	0.8691	0.9794	0.7685	0.9679
sub-0004_task-thermalactive_run-5_eeg	sub-0004	derived_shipped	92	0	2	10	4	6	1.79	0.0	0.27	0.2	21.23	3.15	0.9998	0.01827	1.0	1.0	1.0	1.0	1.0	1.0	0.9647	1.0	0.7776	0.9649
sub-0004_task-thermalactive_run-4_eeg	sub-0004	derived_shipped	99	0	2	12	12	7	2.26	0.0576	0.35	0.2	24.48	4.05	0.99784	0.04136	1.0	1.0	1.0	1.0	1.0	1.0	0.9103	0.9853	0.7305	0.9519
